127.0.0.1 - - [13/Mar/2013:06:34:09 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [13/Mar/2013:06:54:14 -0300] "GET /Sistema2/login.jsp HTTP/1.1" 200 6037
0:0:0:0:0:0:0:1 - - [13/Mar/2013:06:54:44 -0300] "POST /Sistema2/logar.jsp?acao=logar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Mar/2013:06:54:44 -0300] "GET /Sistema2/menu1.jsp?login=entrou HTTP/1.1" 200 21635
0:0:0:0:0:0:0:1 - - [13/Mar/2013:06:54:44 -0300] "GET /Sistema2/imagens/menu.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2013:06:54:47 -0300] "GET /Sistema2/cad_senha.jsp HTTP/1.1" 200 19657
0:0:0:0:0:0:0:1 - - [13/Mar/2013:06:54:47 -0300] "GET /Sistema2/imagens/resetsenha.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2013:06:54:47 -0300] "GET /Sistema2/imagens/botaoazul3.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2013:06:54:47 -0300] "GET /Sistema2/imagens/botaoazul4.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2013:06:54:47 -0300] "GET /Sistema2/imagens/botaoazul5.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2013:06:54:47 -0300] "GET /Sistema2/imagens/proximo.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2013:06:54:47 -0300] "GET /Sistema2/imagens/botaoazul01.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2013:06:54:47 -0300] "GET /Sistema2/imagens/fim.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2013:06:54:47 -0300] "GET /Sistema2/imagens/botaoazul7.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2013:06:54:47 -0300] "GET /Sistema2/imagens/inicio.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2013:06:54:47 -0300] "GET /Sistema2/imagens/anterior.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2013:06:54:47 -0300] "GET /Sistema2/imagens/botaoazul24.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2013:06:54:47 -0300] "GET /Sistema2/imagens/botaobanco51.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2013:06:54:47 -0300] "GET /Sistema2/imagens/vacina.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2013:06:54:53 -0300] "POST /Sistema2/cad_senha.jsp HTTP/1.1" 200 19846
0:0:0:0:0:0:0:1 - - [13/Mar/2013:06:54:55 -0300] "GET /Sistema2/permissao.jsp?Cod_2=LOARD HTTP/1.1" 200 25392
0:0:0:0:0:0:0:1 - - [13/Mar/2013:06:54:57 -0300] "POST /Sistema2/permissao.jsp HTTP/1.1" 200 6695
0:0:0:0:0:0:0:1 - - [13/Mar/2013:06:55:04 -0300] "GET /Sistema2/cad_senha.jsp?Cod_2=null HTTP/1.1" 200 19657
