127.0.0.1 - - [09/Mar/2013:03:40:53 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [09/Mar/2013:03:47:08 -0300] "GET /Sistema2/pag_tes.jsp HTTP/1.1" 500 5202
0:0:0:0:0:0:0:1 - - [09/Mar/2013:03:48:04 -0300] "GET /Sistema2/pag_tes.jsp HTTP/1.1" 500 4407
0:0:0:0:0:0:0:1 - - [09/Mar/2013:04:24:06 -0300] "GET /Sistema2/pag_tes.jsp HTTP/1.1" 500 3746
0:0:0:0:0:0:0:1 - - [09/Mar/2013:04:26:11 -0300] "GET /Sistema2/pag_tes.jsp HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [09/Mar/2013:04:27:28 -0300] "GET /Sistema2/pag_tes.jsp HTTP/1.1" 500 3725
0:0:0:0:0:0:0:1 - - [09/Mar/2013:04:54:21 -0300] "GET /Sistema2/pag_tes.jsp HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [09/Mar/2013:05:04:50 -0300] "GET /Sistema2/pag_tes.jsp HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [09/Mar/2013:05:05:25 -0300] "GET /Sistema2/pag_tes.jsp HTTP/1.1" 200 359
0:0:0:0:0:0:0:1 - - [09/Mar/2013:05:10:16 -0300] "GET /Sistema2/pag_tes.jsp HTTP/1.1" 500 3597
0:0:0:0:0:0:0:1 - - [09/Mar/2013:05:11:59 -0300] "GET /Sistema2/pag_tes.jsp HTTP/1.1" 200 628
0:0:0:0:0:0:0:1 - - [09/Mar/2013:05:19:46 -0300] "GET /Sistema2/permissao.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Mar/2013:05:19:46 -0300] "GET /Sistema2/login.jsp HTTP/1.1" 200 6030
0:0:0:0:0:0:0:1 - - [09/Mar/2013:05:19:53 -0300] "POST /Sistema2/logar.jsp?acao=logar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Mar/2013:05:19:53 -0300] "GET /Sistema2/errro.jsp?entra=falhou HTTP/1.1" 200 5571
0:0:0:0:0:0:0:1 - - [09/Mar/2013:05:19:58 -0300] "POST /Sistema2/index.html HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [09/Mar/2013:05:19:58 -0300] "GET /Sistema2/login.jsp HTTP/1.1" 200 6030
0:0:0:0:0:0:0:1 - - [09/Mar/2013:05:19:58 -0300] "GET /Sistema2/images/holo.ico HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [09/Mar/2013:05:21:14 -0300] "POST /Sistema2/logar.jsp?acao=logar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Mar/2013:05:21:14 -0300] "GET /Sistema2/menu1.jsp?login=entrou HTTP/1.1" 200 21623
0:0:0:0:0:0:0:1 - - [09/Mar/2013:05:21:18 -0300] "GET /Sistema2/cad_senha.jsp HTTP/1.1" 200 18948
0:0:0:0:0:0:0:1 - - [09/Mar/2013:05:21:26 -0300] "POST /Sistema2/cad_senha.jsp HTTP/1.1" 200 20036
0:0:0:0:0:0:0:1 - - [09/Mar/2013:05:21:32 -0300] "GET /Sistema2/permissao.jsp?Cod_2=LOARD HTTP/1.1" 200 17326
0:0:0:0:0:0:0:1 - - [09/Mar/2013:05:22:02 -0300] "GET /Sistema2/paginacao.jsp HTTP/1.1" 200 4078
0:0:0:0:0:0:0:1 - - [09/Mar/2013:05:24:40 -0300] "GET /Sistema2/permissao.jsp?Cod_2=LOARD HTTP/1.1" 200 8383
0:0:0:0:0:0:0:1 - - [09/Mar/2013:05:26:26 -0300] "GET /Sistema2/permissao.jsp?Cod_2=LOARD HTTP/1.1" 200 19741
0:0:0:0:0:0:0:1 - - [09/Mar/2013:05:33:18 -0300] "GET /Sistema2/cad_senha.jsp?Cod_2=LOARD HTTP/1.1" 200 20026
0:0:0:0:0:0:0:1 - - [09/Mar/2013:05:33:18 -0300] "GET /Sistema2/imagens/botaobanco50.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2013:05:33:23 -0300] "GET /Sistema2/permissao.jsp?Cod_2=LOARD HTTP/1.1" 200 18439
0:0:0:0:0:0:0:1 - - [09/Mar/2013:05:34:18 -0300] "GET /Sistema2/cad_senha.jsp?Cod_2=LOARD HTTP/1.1" 200 20026
0:0:0:0:0:0:0:1 - - [09/Mar/2013:05:34:21 -0300] "GET /Sistema2/permissao.jsp?Cod_2=LOARD HTTP/1.1" 200 18439
0:0:0:0:0:0:0:1 - - [09/Mar/2013:05:36:48 -0300] "GET /Sistema2/cad_senha.jsp?Cod_2=LOARD HTTP/1.1" 200 20026
0:0:0:0:0:0:0:1 - - [09/Mar/2013:05:36:50 -0300] "GET /Sistema2/permissao.jsp?Cod_2=LOARD HTTP/1.1" 200 18431
0:0:0:0:0:0:0:1 - - [09/Mar/2013:05:36:57 -0300] "GET /Sistema2/cad_senha.jsp?Cod_2=LOARD HTTP/1.1" 200 20026
0:0:0:0:0:0:0:1 - - [09/Mar/2013:05:37:45 -0300] "GET /Sistema2/permissao.jsp?Cod_2=LOARD HTTP/1.1" 200 18499
0:0:0:0:0:0:0:1 - - [09/Mar/2013:05:38:43 -0300] "GET /Sistema2/cad_senha.jsp?Cod_2=LOARD HTTP/1.1" 200 20026
0:0:0:0:0:0:0:1 - - [09/Mar/2013:05:38:45 -0300] "GET /Sistema2/permissao.jsp?Cod_2=LOARD HTTP/1.1" 200 18362
0:0:0:0:0:0:0:1 - - [09/Mar/2013:05:41:09 -0300] "GET /Sistema2/cad_senha.jsp?Cod_2=LOARD HTTP/1.1" 200 20026
0:0:0:0:0:0:0:1 - - [09/Mar/2013:05:41:11 -0300] "GET /Sistema2/permissao.jsp?Cod_2=LOARD HTTP/1.1" 200 18736
0:0:0:0:0:0:0:1 - - [09/Mar/2013:05:42:18 -0300] "GET /Sistema2/cad_senha.jsp?Cod_2=LOARD HTTP/1.1" 200 20026
0:0:0:0:0:0:0:1 - - [09/Mar/2013:05:42:21 -0300] "GET /Sistema2/permissao.jsp?Cod_2=LOARD HTTP/1.1" 200 18482
0:0:0:0:0:0:0:1 - - [09/Mar/2013:05:44:36 -0300] "GET /Sistema2/cad_senha.jsp?Cod_2=LOARD HTTP/1.1" 200 20026
0:0:0:0:0:0:0:1 - - [09/Mar/2013:05:44:38 -0300] "GET /Sistema2/permissao.jsp?Cod_2=LOARD HTTP/1.1" 200 18484
0:0:0:0:0:0:0:1 - - [09/Mar/2013:05:46:24 -0300] "GET /Sistema2/cad_senha.jsp?Cod_2=LOARD HTTP/1.1" 200 20026
