127.0.0.1 - - [19/Mar/2013:12:29:23 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [19/Mar/2013:12:30:38 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [19/Mar/2013:12:30:38 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [19/Mar/2013:12:31:15 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [19/Mar/2013:12:31:15 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [19/Mar/2013:12:31:17 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [19/Mar/2013:12:31:17 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [19/Mar/2013:12:48:12 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [19/Mar/2013:12:48:12 -0300] "GET /favicon.ico HTTP/1.1" 404 973
