0:0:0:0:0:0:0:1 - - [18/Jun/2013:15:38:09 -0300] "GET /Sistema2/imagens/caixa.png HTTP/1.1" 200 30438
0:0:0:0:0:0:0:1 - - [18/Jun/2013:15:38:09 -0300] "GET /Sistema2/imagens/juridico.png HTTP/1.1" 200 30648
0:0:0:0:0:0:0:1 - - [18/Jun/2013:15:38:09 -0300] "GET /Sistema2/imagens/contribuicao.png HTTP/1.1" 200 30706
0:0:0:0:0:0:0:1 - - [18/Jun/2013:15:38:09 -0300] "GET /Sistema2/imagens/relatorios.png HTTP/1.1" 200 30385
0:0:0:0:0:0:0:1 - - [18/Jun/2013:15:38:09 -0300] "GET /Sistema2/imagens/cadeado.gif HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [18/Jun/2013:15:38:09 -0300] "GET /Sistema2/imagens/login.PNG HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [18/Jun/2013:15:38:09 -0300] "GET /Sistema2/imagens/website.png HTTP/1.1" 200 31085
0:0:0:0:0:0:0:1 - - [18/Jun/2013:15:38:09 -0300] "GET /Sistema2/imagens/operador.png HTTP/1.1" 200 30132
0:0:0:0:0:0:0:1 - - [18/Jun/2013:15:38:09 -0300] "GET /Sistema2/imagens/help.png HTTP/1.1" 200 29128
0:0:0:0:0:0:0:1 - - [18/Jun/2013:15:38:09 -0300] "GET /Sistema2/imagens/ajud-1.png HTTP/1.1" 200 29004
0:0:0:0:0:0:0:1 - - [18/Jun/2013:15:38:09 -0300] "GET /Sistema2/imagens/favicon.ico HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [18/Jun/2013:15:39:12 -0300] "POST /Sistema2/logar.jsp?acao=logar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jun/2013:15:39:13 -0300] "GET /Sistema2/menu1.jsp?login=entrou HTTP/1.1" 200 21608
0:0:0:0:0:0:0:1 - - [18/Jun/2013:15:39:13 -0300] "GET /Sistema2/imagens/carta.gif HTTP/1.1" 200 10565
0:0:0:0:0:0:0:1 - - [18/Jun/2013:15:39:13 -0300] "GET /Sistema2/imagens/arrows.gif HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [18/Jun/2013:15:39:13 -0300] "GET /Sistema2/imagens/menu.png HTTP/1.1" 200 28199
0:0:0:0:0:0:0:1 - - [18/Jun/2013:15:39:13 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [18/Jun/2013:15:39:22 -0300] "GET /Sistema2/cad_senha.jsp HTTP/1.1" 200 19623
