0:0:0:0:0:0:0:1 - - [03/May/2013:12:49:13 -0300] "GET /Sistema2/cad_senha.jsp?opcao=lis_grid&Cod_2= HTTP/1.1" 200 19634
0:0:0:0:0:0:0:1 - - [03/May/2013:12:49:14 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [03/May/2013:12:49:23 -0300] "GET /Sistema2/cad_senha.jsp?opcao=lis_grid&Cod_2= HTTP/1.1" 200 19634
0:0:0:0:0:0:0:1 - - [03/May/2013:12:49:23 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [03/May/2013:12:49:30 -0300] "GET /Sistema2/cad_senha.jsp?opcao=lis_grid&Cod_2= HTTP/1.1" 200 19634
0:0:0:0:0:0:0:1 - - [03/May/2013:12:49:31 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [03/May/2013:12:49:31 -0300] "POST /Sistema2/cad_senha.jsp HTTP/1.1" 200 19643
0:0:0:0:0:0:0:1 - - [03/May/2013:12:49:32 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [03/May/2013:12:49:36 -0300] "GET /Sistema2/cad_senha.jsp?opcao=lis_grid&Cod_2= HTTP/1.1" 200 19634
0:0:0:0:0:0:0:1 - - [03/May/2013:12:49:37 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [03/May/2013:12:49:44 -0300] "POST /Sistema2/cad_senha.jsp HTTP/1.1" 200 19837
0:0:0:0:0:0:0:1 - - [03/May/2013:12:49:45 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [03/May/2013:12:49:47 -0300] "GET /Sistema2/cad_senha.jsp?opcao=lis_grid&Cod_2=1 HTTP/1.1" 200 19634
0:0:0:0:0:0:0:1 - - [03/May/2013:12:49:48 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [03/May/2013:12:49:56 -0300] "POST /Sistema2/cad_senha.jsp HTTP/1.1" 200 19837
0:0:0:0:0:0:0:1 - - [03/May/2013:12:49:57 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [03/May/2013:12:50:02 -0300] "GET /Sistema2/permissao.jsp?Cod_2=LOARD HTTP/1.1" 200 26349
0:0:0:0:0:0:0:1 - - [03/May/2013:12:50:02 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [03/May/2013:12:50:03 -0300] "GET /Sistema2/imagens/editar.gif HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [03/May/2013:12:50:03 -0300] "GET /Sistema2/imagens/excluir.gif HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [03/May/2013:12:50:03 -0300] "GET /Sistema2/imagens/botao_voltar.PNG HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [03/May/2013:12:50:03 -0300] "GET /Sistema2/imagens/novo.gif HTTP/1.1" 200 1259
0:0:0:0:0:0:0:1 - - [03/May/2013:12:50:07 -0300] "GET /Sistema2/cad_senha.jsp?Cod_2=LOARD HTTP/1.1" 200 19827
