0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:50:31 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 658
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:50:31 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:50:31 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 658
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:50:31 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:50:32 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 658
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:50:32 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:50:32 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 658
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:50:32 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:50:50 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:50:50 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:50:51 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:50:51 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:50:51 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:50:51 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:50:52 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:50:52 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:50:52 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:50:52 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:50:52 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:50:52 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:54:59 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 500 2524
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:54:59 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:55:32 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 648
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:55:33 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:57:28 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 648
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:57:28 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:57:55 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 648
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:57:55 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:58:06 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 648
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:58:06 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:58:20 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 650
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:58:20 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:58:34 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:58:34 -0300] "GET /favicon.ico HTTP/1.1" 404 973
192.168.1.113 - - [20/Mar/2013:18:22:29 -0300] "GET /Sistemsa2/index.html HTTP/1.1" 404 991
192.168.1.113 - - [20/Mar/2013:18:22:40 -0300] "GET /Sistema2/index.html HTTP/1.1" 200 520
192.168.1.113 - - [20/Mar/2013:18:22:40 -0300] "GET /Sistema2/images/holo.ico HTTP/1.1" 404 999
192.168.1.113 - - [20/Mar/2013:18:22:41 -0300] "GET /Sistema2/login.jsp HTTP/1.1" 200 6071
192.168.1.113 - - [20/Mar/2013:18:22:41 -0300] "GET /Sistema2/menu.css HTTP/1.1" 200 3144
192.168.1.113 - - [20/Mar/2013:18:22:41 -0300] "GET /Sistema2/imagens/relatorios.png HTTP/1.1" 200 30385
192.168.1.113 - - [20/Mar/2013:18:22:41 -0300] "GET /Sistema2/imagens/px1.gif HTTP/1.1" 200 43
192.168.1.113 - - [20/Mar/2013:18:22:41 -0300] "GET /Sistema2/imagens/operador.png HTTP/1.1" 200 30132
192.168.1.113 - - [20/Mar/2013:18:22:41 -0300] "GET /Sistema2/imagens/cadastro.png HTTP/1.1" 200 31447
192.168.1.113 - - [20/Mar/2013:18:22:41 -0300] "GET /Sistema2/imagens/website.png HTTP/1.1" 200 31085
192.168.1.113 - - [20/Mar/2013:18:22:41 -0300] "GET /Sistema2/imagens/saude.png HTTP/1.1" 200 30678
192.168.1.113 - - [20/Mar/2013:18:22:41 -0300] "GET /Sistema2/imagens/contribuicao.png HTTP/1.1" 200 30706
192.168.1.113 - - [20/Mar/2013:18:22:41 -0300] "GET /Sistema2/imagens/kitt.gif HTTP/1.1" 200 958
192.168.1.113 - - [20/Mar/2013:18:22:41 -0300] "GET /Sistema2/imagens/help.png HTTP/1.1" 200 29128
192.168.1.113 - - [20/Mar/2013:18:22:41 -0300] "GET /Sistema2/imagens/juridico.png HTTP/1.1" 200 30648
