127.0.0.1 - - [12/Mar/2013:18:51:39 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [12/Mar/2013:18:51:45 -0300] "GET /Sistema2/permissao.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Mar/2013:18:51:46 -0300] "GET /Sistema2/login.jsp HTTP/1.1" 200 6030
0:0:0:0:0:0:0:1 - - [12/Mar/2013:18:51:47 -0300] "GET /Sistema2/menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2013:18:51:47 -0300] "GET /Sistema2/imagens/logosys.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2013:18:51:47 -0300] "GET /Sistema2/imagens/px1.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2013:18:51:47 -0300] "GET /Sistema2/imagens/kitt.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2013:18:51:47 -0300] "GET /Sistema2/imagens/cadastro.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2013:18:51:47 -0300] "GET /Sistema2/imagens/dia.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2013:18:51:47 -0300] "GET /Sistema2/imagens/contribuicao.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2013:18:51:48 -0300] "GET /Sistema2/imagens/caixa.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2013:18:51:48 -0300] "GET /Sistema2/imagens/website.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2013:18:51:48 -0300] "GET /Sistema2/imagens/operador.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2013:18:51:48 -0300] "GET /Sistema2/imagens/relatorios.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2013:18:51:48 -0300] "GET /Sistema2/imagens/juridico.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2013:18:51:48 -0300] "GET /Sistema2/imagens/saude.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2013:18:51:48 -0300] "GET /Sistema2/imagens/help.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2013:18:51:48 -0300] "GET /Sistema2/imagens/cadeado.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2013:18:51:48 -0300] "GET /Sistema2/imagens/login.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2013:18:51:48 -0300] "GET /Sistema2/imagens/ajud-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2013:18:51:54 -0300] "POST /Sistema2/logar.jsp?acao=logar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Mar/2013:18:51:54 -0300] "GET /Sistema2/menu1.jsp?login=entrou HTTP/1.1" 200 21628
0:0:0:0:0:0:0:1 - - [12/Mar/2013:18:51:54 -0300] "GET /Sistema2/imagens/arrows.gif HTTP/1.1" 304 -
