127.0.0.1 - - [11/Mar/2013:13:58:43 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [11/Mar/2013:13:58:45 -0300] "GET /Sistema2/WEB-INF/classes/funcoes/Criptographia.java HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [11/Mar/2013:13:59:00 -0300] "GET /Sistema2/login.jsp HTTP/1.1" 200 6032
0:0:0:0:0:0:0:1 - - [11/Mar/2013:13:59:05 -0300] "POST /Sistema2/logar.jsp?acao=logar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2013:13:59:05 -0300] "GET /Sistema2/menu1.jsp?login=entrou HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [11/Mar/2013:13:59:05 -0300] "GET /Sistema2/imagens/menu.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2013:13:59:27 -0300] "GET /Sistema2/cad_senha.jsp HTTP/1.1" 200 19652
0:0:0:0:0:0:0:1 - - [11/Mar/2013:13:59:27 -0300] "GET /Sistema2/imagens/resetsenha.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2013:13:59:27 -0300] "GET /Sistema2/imagens/botaoazul3.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2013:13:59:27 -0300] "GET /Sistema2/imagens/botaoazul5.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2013:13:59:27 -0300] "GET /Sistema2/imagens/botaoazul4.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2013:13:59:27 -0300] "GET /Sistema2/imagens/proximo.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2013:13:59:27 -0300] "GET /Sistema2/imagens/botaoazul7.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2013:13:59:27 -0300] "GET /Sistema2/imagens/inicio.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2013:13:59:27 -0300] "GET /Sistema2/imagens/anterior.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2013:13:59:27 -0300] "GET /Sistema2/imagens/fim.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2013:13:59:27 -0300] "GET /Sistema2/imagens/botaoazul01.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2013:13:59:27 -0300] "GET /Sistema2/imagens/botaoazul24.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2013:13:59:27 -0300] "GET /Sistema2/imagens/vacina.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2013:13:59:27 -0300] "GET /Sistema2/imagens/botaobanco51.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2013:13:59:32 -0300] "GET /Sistema2/permissao.jsp?Cod_2= HTTP/1.1" 200 6618
0:0:0:0:0:0:0:1 - - [11/Mar/2013:13:59:40 -0300] "GET /Sistema2/cad_senha.jsp?Cod_2= HTTP/1.1" 200 19652
0:0:0:0:0:0:0:1 - - [11/Mar/2013:13:59:48 -0300] "GET /Sistema2/cad_senha.jsp?opcao=navegar3&Proximo= HTTP/1.1" 200 19847
0:0:0:0:0:0:0:1 - - [11/Mar/2013:13:59:50 -0300] "GET /Sistema2/permissao.jsp?Cod_2=LOARD HTTP/1.1" 200 24795
0:0:0:0:0:0:0:1 - - [11/Mar/2013:13:59:52 -0300] "GET /Sistema2/cad_senha.jsp?Cod_2=LOARD HTTP/1.1" 200 19831
0:0:0:0:0:0:0:1 - - [11/Mar/2013:13:59:56 -0300] "GET /Sistema2/menu1.jsp HTTP/1.1" 200 21630
