127.0.0.1 - - [17/Mar/2013:15:43:08 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [17/Mar/2013:15:43:33 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2013:15:43:36 -0300] "GET /Sistema2/login.jsp HTTP/1.1" 200 6026
0:0:0:0:0:0:0:1 - - [17/Mar/2013:15:43:37 -0300] "GET /Sistema2/menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2013:15:43:37 -0300] "GET /Sistema2/imagens/logosys.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2013:15:43:37 -0300] "GET /Sistema2/imagens/kitt.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2013:15:43:37 -0300] "GET /Sistema2/imagens/px1.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2013:15:43:37 -0300] "GET /Sistema2/imagens/dia.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2013:15:43:37 -0300] "GET /Sistema2/imagens/relatorios.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2013:15:43:37 -0300] "GET /Sistema2/imagens/contribuicao.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2013:15:43:37 -0300] "GET /Sistema2/imagens/saude.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2013:15:43:37 -0300] "GET /Sistema2/imagens/juridico.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2013:15:43:37 -0300] "GET /Sistema2/imagens/cadastro.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2013:15:43:37 -0300] "GET /Sistema2/imagens/caixa.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2013:15:43:37 -0300] "GET /Sistema2/imagens/operador.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2013:15:43:37 -0300] "GET /Sistema2/imagens/help.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2013:15:43:37 -0300] "GET /Sistema2/imagens/website.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2013:15:43:37 -0300] "GET /Sistema2/imagens/cadeado.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2013:15:43:37 -0300] "GET /Sistema2/imagens/login.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2013:15:43:37 -0300] "GET /Sistema2/imagens/ajud-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2013:15:44:09 -0300] "POST /Sistema2/logar.jsp?acao=logar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2013:15:44:11 -0300] "GET /Sistema2/menu1.jsp?login=entrou HTTP/1.1" 200 21478
0:0:0:0:0:0:0:1 - - [17/Mar/2013:15:44:11 -0300] "GET /Sistema2/info/user.php HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [17/Mar/2013:15:44:11 -0300] "GET /Sistema2/imagens/menu.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2013:15:44:11 -0300] "GET /Sistema2/imagens/carta.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2013:15:44:12 -0300] "GET /Sistema2/imagens/arrows.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2013:15:45:07 -0300] "GET /Sistema2/menu1.jsp?login=entrou HTTP/1.1" 200 21473
0:0:0:0:0:0:0:1 - - [17/Mar/2013:15:45:07 -0300] "GET /Sistema2/menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2013:15:45:07 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2204
0:0:0:0:0:0:0:1 - - [17/Mar/2013:15:45:07 -0300] "GET /Sistema2/imagens/logosys.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2013:15:45:07 -0300] "GET /Sistema2/imagens/dia.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2013:15:45:07 -0300] "GET /Sistema2/imagens/carta.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2013:15:45:07 -0300] "GET /Sistema2/imagens/arrows.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2013:15:45:07 -0300] "GET /Sistema2/imagens/px1.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2013:15:45:07 -0300] "GET /Sistema2/menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2013:15:45:07 -0300] "GET /Sistema2/imagens/logosys.jpg HTTP/1.1" 304 -
